Date,Category,Name,Weight(g),Calories(kcal)
2025/5/14,Fruits,orange,60,12.6
2025/5/14,Animal Proteins,beef,100,120
2025/5/14,Vegetables,potato,70,1050
2025/5/14,Animal Proteins,beef,35,42
2025/5/14,Staple Food,bread,230,69
2025/5/14,Staple Food,noodle,400,80
2025/5/14,Animal Proteins,beef,100,120
2025/5/14,Staple Food,rice,350,35
2025/5/14,Animal Proteins,fish,20,24
2025/5/14,Animal Proteins,fish,20,24
2025/5/14,Animal Proteins,beef,200,240
2025/5/14,Dairy,milk,100,150
2025/5/14,Animal Proteins,fish,20,24
2025/5/14,Animal Proteins,bacon,60,24
2025/5/14,Animal Proteins,fish,100,120
2025/5/17,Animal Proteins,egg soup,60,90
2025/5/17,Staple Food,fired noodles,200,120
2025/5/17,Animal Proteins,egg soup,50,75
2025/5/26,Animal Proteins,beef,100,120
2025/5/26,Vegetables,tomato,100,45
2025/5/27,Beverages,goat milk,200,480
2025/5/27,Vegetables,cabbage,250,195
2025/5/27,Beverages,milk,20,30
2025/5/27,Beverages,yogurt,50,30
2025/5/27,Beverages,milk,60,90
2025/5/27,Beverages,milk,50,75
2025/5/27,Beverages,strawberry yogurt,50,25
2025/5/27,Beverages,orange juice,400,200
2025/5/27,Beverages,coke,500,5
2025/5/8,Staple Food,noodle,400,80
2025/5/8,Fruits,orange,60,12.6
2025/5/8,Vegetables,potato,70,10.5
2025/5/8,Animal Proteins,bacon,60,24
2025/5/8,Dairy,milk,100,150
2025/5/8,Staple Food,rice,350,35
2025/5/8,Staple Food,bread,230,69
2025/6/2,Beverages,milk,50,75
2025/6/2,Beverages,milk,20,30
2025/6/2,Beverages,milk,60,90
2025/6/2,Beverages,yogurt,50,30
2025/6/2,Vegetables,cabbage,250,195
2025/6/2,Beverages,strawberry yogurt,50,25
2025/6/2,Beverages,orange juice,400,200
2025/6/2,Beverages,goat milk,200,480
2025/6/2,Beverages,coke,500,5
2025/6/3,Vegetables,eggplant,100,67
2025/6/5,Beverages,coke,500,5
